raw_facet,normalized_facet,facet_type,conversation_observable,sensitivity,scoring_definition,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,abstention_reason,data_quality_flag
Moroseness,Moroseness,conversation_observable,True,low,"Measures the degree of moroseness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of moroseness in the conversation.,Minimal/isolated signs of moroseness.,Moderate moroseness apparent in several statements.,Clear and repeated moroseness throughout.,Pervasive moroseness dominating the conversation.,,
Specialist,Specialist,conversation_observable,True,low,"Measures the degree of specialist demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of specialist.,Slight evidence of specialist; brief or weak signals.,Moderate specialist; clear but not dominant evidence.,Strong specialist; multiple clear indicators.,Very strong specialist; pervasive and compelling evidence.,,
Aloofness,Aloofness,conversation_observable,True,low,"Measures the degree of aloofness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of aloofness.,Slight evidence of aloofness; brief or weak signals.,Moderate aloofness; clear but not dominant evidence.,Strong aloofness; multiple clear indicators.,Very strong aloofness; pervasive and compelling evidence.,,
Genuine,Genuine,conversation_observable,True,low,"Measures the degree of genuine demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of genuine.,Slight evidence of genuine; brief or weak signals.,Moderate genuine; clear but not dominant evidence.,Strong genuine; multiple clear indicators.,Very strong genuine; pervasive and compelling evidence.,,
Determinedness,Determinedness,conversation_observable,True,low,"Measures the degree of determinedness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of determinedness.,Slight evidence of determinedness; brief or weak signals.,Moderate determinedness; clear but not dominant evidence.,Strong determinedness; multiple clear indicators.,Very strong determinedness; pervasive and compelling evidence.,,
HonestyHumility:,Honesty Humility,conversation_observable,True,low,"Measures the degree of honesty humility demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of honesty humility.,Slight evidence of honesty humility; brief or weak signals.,Moderate honesty humility; clear but not dominant evidence.,Strong honesty humility; multiple clear indicators.,Very strong honesty humility; pervasive and compelling evidence.,,trailing_colon; camelcase_compound
Relationship Building Themes:,Relationship Building Themes,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Pure Challenge,Pure Challenge,conversation_observable,True,low,"Measures the degree of pure challenge demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of pure challenge.,Slight evidence of pure challenge; brief or weak signals.,Moderate pure challenge; clear but not dominant evidence.,Strong pure challenge; multiple clear indicators.,Very strong pure challenge; pervasive and compelling evidence.,,
Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Openness,Openness,conversation_observable,True,low,"Measures the degree of openness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of openness.,Slight evidence of openness; brief or weak signals.,Moderate openness; clear but not dominant evidence.,Strong openness; multiple clear indicators.,Very strong openness; pervasive and compelling evidence.,,
SelfEsteem,Self Esteem,conversation_observable,True,low,"Measures the degree of self esteem demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of self esteem.,Slight evidence of self esteem; brief or weak signals.,Moderate self esteem; clear but not dominant evidence.,Strong self esteem; multiple clear indicators.,Very strong self esteem; pervasive and compelling evidence.,,camelcase_compound
Comparing alphanumeric data,Comparing Alphanumeric Data,conversation_observable,True,low,"Measures the degree of comparing alphanumeric data demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of comparing alphanumeric data.,Slight evidence of comparing alphanumeric data; brief or weak signals.,Moderate comparing alphanumeric data; clear but not dominant evidence.,Strong comparing alphanumeric data; multiple clear indicators.,Very strong comparing alphanumeric data; pervasive and compelling evidence.,,
Big-heartedness,Big-heartedness,conversation_observable,True,low,"Measures the degree of big-heartedness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of big-heartedness.,Slight evidence of big-heartedness; brief or weak signals.,Moderate big-heartedness; clear but not dominant evidence.,Strong big-heartedness; multiple clear indicators.,Very strong big-heartedness; pervasive and compelling evidence.,,
Compulsive activities,Compulsive Activities,conversation_observable,True,low,"Measures the degree of compulsive activities demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of compulsive activities.,Slight evidence of compulsive activities; brief or weak signals.,Moderate compulsive activities; clear but not dominant evidence.,Strong compulsive activities; multiple clear indicators.,Very strong compulsive activities; pervasive and compelling evidence.,,
Disrespect,Disrespect,conversation_observable,True,low,"Measures the degree of disrespect demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of disrespect in the conversation.,Minimal/isolated signs of disrespect.,Moderate disrespect apparent in several statements.,Clear and repeated disrespect throughout.,Pervasive disrespect dominating the conversation.,,
FSH level,FSH Level,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Self Perspective,Self Perspective,conversation_observable,True,low,"Measures the degree of self perspective demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of self perspective.,Slight evidence of self perspective; brief or weak signals.,Moderate self perspective; clear but not dominant evidence.,Strong self perspective; multiple clear indicators.,Very strong self perspective; pervasive and compelling evidence.,,
Desperation,Desperation,conversation_observable,True,low,"Measures the degree of desperation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of desperation.,Slight evidence of desperation; brief or weak signals.,Moderate desperation; clear but not dominant evidence.,Strong desperation; multiple clear indicators.,Very strong desperation; pervasive and compelling evidence.,,
Affiliation Motivation:,Affiliation Motivation,conversation_observable,True,low,"Measures the degree of affiliation motivation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of affiliation motivation.,Slight evidence of affiliation motivation; brief or weak signals.,Moderate affiliation motivation; clear but not dominant evidence.,Strong affiliation motivation; multiple clear indicators.,Very strong affiliation motivation; pervasive and compelling evidence.,,trailing_colon
Anatomy knowledge,Anatomy Knowledge,conversation_observable,True,low,"Measures the degree of anatomy knowledge demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of anatomy knowledge.,Slight evidence of anatomy knowledge; brief or weak signals.,Moderate anatomy knowledge; clear but not dominant evidence.,Strong anatomy knowledge; multiple clear indicators.,Very strong anatomy knowledge; pervasive and compelling evidence.,,
Passive-Aggressive,Passive-aggressive,conversation_observable,True,low,"Measures the degree of passive-aggressive demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of passive-aggressive.,Slight evidence of passive-aggressive; brief or weak signals.,Moderate passive-aggressive; clear but not dominant evidence.,Strong passive-aggressive; multiple clear indicators.,Very strong passive-aggressive; pervasive and compelling evidence.,,
Presence of Spiritual Pain,Presence of Spiritual Pain,conversation_observable,True,low,"Measures the degree of presence of spiritual pain demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of presence of spiritual pain.,Slight evidence of presence of spiritual pain; brief or weak signals.,Moderate presence of spiritual pain; clear but not dominant evidence.,Strong presence of spiritual pain; multiple clear indicators.,Very strong presence of spiritual pain; pervasive and compelling evidence.,,
Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,conversation_observable,True,low,"Measures the degree of role of spirituality in community involvement demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of role of spirituality in community involvement.,Slight evidence of role of spirituality in community involvement; brief or weak signals.,Moderate role of spirituality in community involvement; clear but not dominant evidence.,Strong role of spirituality in community involvement; multiple clear indicators.,Very strong role of spirituality in community involvement; pervasive and compelling evidence.,,
Structure,Structure,conversation_observable,True,low,"Measures the degree of structure demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of structure.,Slight evidence of structure; brief or weak signals.,Moderate structure; clear but not dominant evidence.,Strong structure; multiple clear indicators.,Very strong structure; pervasive and compelling evidence.,,
Eco-tourism trips,Eco-tourism Trips,conversation_observable,True,low,"Measures the degree of eco-tourism trips demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of eco-tourism trips.,Slight evidence of eco-tourism trips; brief or weak signals.,Moderate eco-tourism trips; clear but not dominant evidence.,Strong eco-tourism trips; multiple clear indicators.,Very strong eco-tourism trips; pervasive and compelling evidence.,,
Chivalrousness,Chivalrousness,conversation_observable,True,low,"Measures the degree of chivalrousness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of chivalrousness.,Slight evidence of chivalrousness; brief or weak signals.,Moderate chivalrousness; clear but not dominant evidence.,Strong chivalrousness; multiple clear indicators.,Very strong chivalrousness; pervasive and compelling evidence.,,
Pilgrimage participation count,Pilgrimage Participation Count,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Mindfulness facet: Observing,Mindfulness Facet: Observing,conversation_observable,True,low,"Measures the degree of mindfulness facet: observing demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of mindfulness facet: observing.,Slight evidence of mindfulness facet: observing; brief or weak signals.,Moderate mindfulness facet: observing; clear but not dominant evidence.,Strong mindfulness facet: observing; multiple clear indicators.,Very strong mindfulness facet: observing; pervasive and compelling evidence.,,
Submissiveness,Submissiveness,conversation_observable,True,low,"Measures the degree of submissiveness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of submissiveness.,Slight evidence of submissiveness; brief or weak signals.,Moderate submissiveness; clear but not dominant evidence.,Strong submissiveness; multiple clear indicators.,Very strong submissiveness; pervasive and compelling evidence.,,
Training-cycle length,Training-cycle Length,conversation_observable,True,low,"Measures the degree of training-cycle length demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of training-cycle length.,Slight evidence of training-cycle length; brief or weak signals.,Moderate training-cycle length; clear but not dominant evidence.,Strong training-cycle length; multiple clear indicators.,Very strong training-cycle length; pervasive and compelling evidence.,,
Sensitiveness,Sensitiveness,conversation_observable,True,low,"Measures the degree of sensitiveness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of sensitiveness.,Slight evidence of sensitiveness; brief or weak signals.,Moderate sensitiveness; clear but not dominant evidence.,Strong sensitiveness; multiple clear indicators.,Very strong sensitiveness; pervasive and compelling evidence.,,
Negative Affect Frequency,Negative Affect Frequency,conversation_observable,True,low,"Measures the degree of negative affect frequency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of negative affect frequency.,Slight evidence of negative affect frequency; brief or weak signals.,Moderate negative affect frequency; clear but not dominant evidence.,Strong negative affect frequency; multiple clear indicators.,Very strong negative affect frequency; pervasive and compelling evidence.,,
Innovation and Creativity Components:,Innovation and Creativity Components,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Achievement Motivation:,Achievement Motivation,conversation_observable,True,low,"Measures the degree of achievement motivation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of achievement motivation.,Slight evidence of achievement motivation; brief or weak signals.,Moderate achievement motivation; clear but not dominant evidence.,Strong achievement motivation; multiple clear indicators.,Very strong achievement motivation; pervasive and compelling evidence.,,trailing_colon
Feedback-giving frequency,Feedback-giving Frequency,conversation_observable,True,low,"Measures the degree of feedback-giving frequency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of feedback-giving frequency.,Slight evidence of feedback-giving frequency; brief or weak signals.,Moderate feedback-giving frequency; clear but not dominant evidence.,Strong feedback-giving frequency; multiple clear indicators.,Very strong feedback-giving frequency; pervasive and compelling evidence.,,
Dance-cardio sessions,Dance-cardio Sessions,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Enthusiasm,Enthusiasm,conversation_observable,True,low,"Measures the degree of enthusiasm demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of enthusiasm.,Slight evidence of enthusiasm; brief or weak signals.,Moderate enthusiasm; clear but not dominant evidence.,Strong enthusiasm; multiple clear indicators.,Very strong enthusiasm; pervasive and compelling evidence.,,
Psychological construct: Social Desirability tendency,Psychological Construct: Social Desirability Tendency,ambiguous,False,high,Not directly scoreable from conversation (ambiguous).,,,,,,Standardised psychological measure requires validated instrument.,
Inattentiveness,Inattentiveness,conversation_observable,True,low,"Measures the degree of inattentiveness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of inattentiveness in the conversation.,Minimal/isolated signs of inattentiveness.,Moderate inattentiveness apparent in several statements.,Clear and repeated inattentiveness throughout.,Pervasive inattentiveness dominating the conversation.,,
Unassertiveness,Unassertiveness,conversation_observable,True,low,"Measures the degree of unassertiveness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of unassertiveness.,Slight evidence of unassertiveness; brief or weak signals.,Moderate unassertiveness; clear but not dominant evidence.,Strong unassertiveness; multiple clear indicators.,Very strong unassertiveness; pervasive and compelling evidence.,,
Decision-making decisiveness,Decision-making Decisiveness,conversation_observable,True,low,"Measures the degree of decision-making decisiveness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of decision-making decisiveness.,Slight evidence of decision-making decisiveness; brief or weak signals.,Moderate decision-making decisiveness; clear but not dominant evidence.,Strong decision-making decisiveness; multiple clear indicators.,Very strong decision-making decisiveness; pervasive and compelling evidence.,,
Sense-of-coherence score,Sense-of-coherence Score,conversation_observable,True,low,"Measures the degree of sense-of-coherence score demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of sense-of-coherence score.,Slight evidence of sense-of-coherence score; brief or weak signals.,Moderate sense-of-coherence score; clear but not dominant evidence.,Strong sense-of-coherence score; multiple clear indicators.,Very strong sense-of-coherence score; pervasive and compelling evidence.,,
Justice-mindedness,Justice-mindedness,conversation_observable,True,low,"Measures the degree of justice-mindedness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of justice-mindedness.,Slight evidence of justice-mindedness; brief or weak signals.,Moderate justice-mindedness; clear but not dominant evidence.,Strong justice-mindedness; multiple clear indicators.,Very strong justice-mindedness; pervasive and compelling evidence.,,
Subscription count,Subscription Count,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Depression Symptoms,Depression Symptoms,medical_health,False,critical,Not directly scoreable from conversation (medical_health).,,,,,,Medical/biological data cannot be inferred from conversation.,
Spatial perception,Spatial Perception,conversation_observable,True,low,"Measures the degree of spatial perception demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of spatial perception.,Slight evidence of spatial perception; brief or weak signals.,Moderate spatial perception; clear but not dominant evidence.,Strong spatial perception; multiple clear indicators.,Very strong spatial perception; pervasive and compelling evidence.,,
Brevity,Brevity,conversation_observable,True,low,"Measures the degree of brevity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of brevity.,Slight evidence of brevity; brief or weak signals.,Moderate brevity; clear but not dominant evidence.,Strong brevity; multiple clear indicators.,Very strong brevity; pervasive and compelling evidence.,,
Orderliness,Orderliness,conversation_observable,True,low,"Measures the degree of orderliness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of orderliness.,Slight evidence of orderliness; brief or weak signals.,Moderate orderliness; clear but not dominant evidence.,Strong orderliness; multiple clear indicators.,Very strong orderliness; pervasive and compelling evidence.,,
Multiculturalism,Multiculturalism,conversation_observable,True,low,"Measures the degree of multiculturalism demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of multiculturalism.,Slight evidence of multiculturalism; brief or weak signals.,Moderate multiculturalism; clear but not dominant evidence.,Strong multiculturalism; multiple clear indicators.,Very strong multiculturalism; pervasive and compelling evidence.,,
Creative risk-taking tendency,Creative Risk-taking Tendency,conversation_observable,True,low,"Measures the degree of creative risk-taking tendency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of creative risk-taking tendency.,Slight evidence of creative risk-taking tendency; brief or weak signals.,Moderate creative risk-taking tendency; clear but not dominant evidence.,Strong creative risk-taking tendency; multiple clear indicators.,Very strong creative risk-taking tendency; pervasive and compelling evidence.,,
Inefficiency,Inefficiency,conversation_observable,True,low,"Measures the degree of inefficiency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of inefficiency in the conversation.,Minimal/isolated signs of inefficiency.,Moderate inefficiency apparent in several statements.,Clear and repeated inefficiency throughout.,Pervasive inefficiency dominating the conversation.,,
Network basics,Network Basics,conversation_observable,True,low,"Measures the degree of network basics demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of network basics.,Slight evidence of network basics; brief or weak signals.,Moderate network basics; clear but not dominant evidence.,Strong network basics; multiple clear indicators.,Very strong network basics; pervasive and compelling evidence.,,
Alphabetical filing skills,Alphabetical Filing Skills,conversation_observable,True,low,"Measures the degree of alphabetical filing skills demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of alphabetical filing skills.,Slight evidence of alphabetical filing skills; brief or weak signals.,Moderate alphabetical filing skills; clear but not dominant evidence.,Strong alphabetical filing skills; multiple clear indicators.,Very strong alphabetical filing skills; pervasive and compelling evidence.,,
Work Styles,Work Styles,conversation_observable,True,low,"Measures the degree of work styles demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of work styles.,Slight evidence of work styles; brief or weak signals.,Moderate work styles; clear but not dominant evidence.,Strong work styles; multiple clear indicators.,Very strong work styles; pervasive and compelling evidence.,,
Character strength: Perseverance,Character Strength: Perseverance,conversation_observable,True,low,"Measures the degree of character strength: perseverance demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of character strength: perseverance.,Slight evidence of character strength: perseverance; brief or weak signals.,Moderate character strength: perseverance; clear but not dominant evidence.,Strong character strength: perseverance; multiple clear indicators.,Very strong character strength: perseverance; pervasive and compelling evidence.,,
Competition,Competition,conversation_observable,True,low,"Measures the degree of competition demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of competition.,Slight evidence of competition; brief or weak signals.,Moderate competition; clear but not dominant evidence.,Strong competition; multiple clear indicators.,Very strong competition; pervasive and compelling evidence.,,
Logical Sequence Identification,Logical Sequence Identification,conversation_observable,True,low,"Measures the degree of logical sequence identification demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of logical sequence identification.,Slight evidence of logical sequence identification; brief or weak signals.,Moderate logical sequence identification; clear but not dominant evidence.,Strong logical sequence identification; multiple clear indicators.,Very strong logical sequence identification; pervasive and compelling evidence.,,
Sustainable-transport usage,Sustainable-transport Usage,conversation_observable,True,low,"Measures the degree of sustainable-transport usage demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of sustainable-transport usage.,Slight evidence of sustainable-transport usage; brief or weak signals.,Moderate sustainable-transport usage; clear but not dominant evidence.,Strong sustainable-transport usage; multiple clear indicators.,Very strong sustainable-transport usage; pervasive and compelling evidence.,,
Hardworking,Hardworking,conversation_observable,True,low,"Measures the degree of hardworking demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of hardworking.,Slight evidence of hardworking; brief or weak signals.,Moderate hardworking; clear but not dominant evidence.,Strong hardworking; multiple clear indicators.,Very strong hardworking; pervasive and compelling evidence.,,
Emotional-intelligence measure: Impulsiveness,Emotional-intelligence Measure: Impulsiveness,ambiguous,False,medium,Not directly scoreable from conversation (ambiguous).,,,,,,Composite psychological measure; partial signals may appear in conversation but safe scoring requires validated tools.,
Dishonesty,Dishonesty,conversation_observable,True,low,"Measures the degree of dishonesty demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of dishonesty in the conversation.,Minimal/isolated signs of dishonesty.,Moderate dishonesty apparent in several statements.,Clear and repeated dishonesty throughout.,Pervasive dishonesty dominating the conversation.,,
Preferred epistemology,Preferred Epistemology,conversation_observable,True,low,"Measures the degree of preferred epistemology demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of preferred epistemology.,Slight evidence of preferred epistemology; brief or weak signals.,Moderate preferred epistemology; clear but not dominant evidence.,Strong preferred epistemology; multiple clear indicators.,Very strong preferred epistemology; pervasive and compelling evidence.,,
Memory for Sounds,Memory for Sounds,conversation_observable,True,low,"Measures the degree of memory for sounds demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of memory for sounds.,Slight evidence of memory for sounds; brief or weak signals.,Moderate memory for sounds; clear but not dominant evidence.,Strong memory for sounds; multiple clear indicators.,Very strong memory for sounds; pervasive and compelling evidence.,,
Sportsmanship rating,Sportsmanship Rating,conversation_observable,True,low,"Measures the degree of sportsmanship rating demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of sportsmanship rating.,Slight evidence of sportsmanship rating; brief or weak signals.,Moderate sportsmanship rating; clear but not dominant evidence.,Strong sportsmanship rating; multiple clear indicators.,Very strong sportsmanship rating; pervasive and compelling evidence.,,
Immaturity,Immaturity,conversation_observable,True,low,"Measures the degree of immaturity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of immaturity in the conversation.,Minimal/isolated signs of immaturity.,Moderate immaturity apparent in several statements.,Clear and repeated immaturity throughout.,Pervasive immaturity dominating the conversation.,,
Health-literacy level,Health-literacy Level,conversation_observable,True,low,"Measures the degree of health-literacy level demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of health-literacy level.,Slight evidence of health-literacy level; brief or weak signals.,Moderate health-literacy level; clear but not dominant evidence.,Strong health-literacy level; multiple clear indicators.,Very strong health-literacy level; pervasive and compelling evidence.,,
